ID,productCode,productName,category_ID,active,unitPrice,createdAt,createdBy,modifiedAt,modifiedBy
10000001-0001-4001-8001-000000000001,TA-001,TAFE 42 DI,11111111-1111-1111-1111-111111111111,true,650000,2024-01-10T09:00:00Z,onboarding.srv@tafe.com,2024-02-09T09:00:00Z,onboarding.srv@tafe.com
10000001-0001-4001-8001-000000000002,TA-002,TAFE 45 DI Orchard,11111111-1111-1111-1111-111111111111,true,725000,2024-01-12T09:00:00Z,onboarding.srv@tafe.com,2024-02-11T09:00:00Z,onboarding.srv@tafe.com
10000001-0001-4001-8001-000000000003,MF-001,Massey Ferguson 241 DI,11111111-1111-1111-1111-111111111111,true,680000,2024-01-15T09:00:00Z,onboarding.srv@tafe.com,2024-02-14T09:00:00Z,onboarding.srv@tafe.com
10000001-0001-4001-8001-000000000004,TA-003,TAFE 9500 Progressive,11111111-1111-1111-1111-111111111111,true,980000,2024-01-18T09:00:00Z,onboarding.srv@tafe.com,2024-02-17T09:00:00Z,onboarding.srv@tafe.com
10000001-0001-4001-8001-000000000005,MF-002,Massey Ferguson 7250 DI Power+,11111111-1111-1111-1111-111111111111,true,945000,2024-01-20T09:00:00Z,onboarding.srv@tafe.com,2024-02-19T09:00:00Z,onboarding.srv@tafe.com
10000001-0001-4001-8001-000000000006,SM-001,Smart Watch,22222222-2222-2222-2222-222222222222,true,4999,2024-01-22T09:00:00Z,onboarding.srv@tafe.com,2024-02-21T09:00:00Z,onboarding.srv@tafe.com
10000001-0001-4001-8001-000000000007,SM-002,Smart Phone,22222222-2222-2222-2222-222222222222,true,24999,2024-01-24T09:00:00Z,onboarding.srv@tafe.com,2024-02-23T09:00:00Z,onboarding.srv@tafe.com
10000001-0001-4001-8001-000000000008,SA-001,Samsung LED TV,22222222-2222-2222-2222-222222222222,true,45999,2024-01-26T09:00:00Z,onboarding.srv@tafe.com,2024-02-25T09:00:00Z,onboarding.srv@tafe.com
10000001-0001-4001-8001-000000000009,BL-001,Bluetooth Speaker,22222222-2222-2222-2222-222222222222,true,3999,2024-01-28T09:00:00Z,onboarding.srv@tafe.com,2024-02-27T09:00:00Z,onboarding.srv@tafe.com
10000001-0001-4001-8001-000000000010,LP-001,Laptop Pro 15,22222222-2222-2222-2222-222222222222,true,74999,2024-01-30T09:00:00Z,onboarding.srv@tafe.com,2024-02-29T09:00:00Z,onboarding.srv@tafe.com
10000001-0001-4001-8001-000000000011,RI-001,Basmati Rice 25 KG,33333333-3333-3333-3333-333333333333,true,1850,2024-02-01T09:00:00Z,onboarding.srv@tafe.com,2024-03-01T09:00:00Z,onboarding.srv@tafe.com
